cat,a_cat,a_value,a_label,a_segment,a_next_segment,a_s_order,a_next_order,a_direction,a_azimuth,a_length,a_stright,a_sinusoid,a_elev_min,a_elev_max,a_s_drop,a_gradient,a_out_direction,a_out_azimuth,a_out_length,a_out_drop,a_out_gradient,a_tangent_dir,a_tangent_azimuth,a_next_direction,a_next_azimuth,a_area,a_lat,a_lon,b_cat,b_value,b_label,area
12,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,13,4,Low Vegetation,5597.560709
13,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,10,4,Low Vegetation,5597.560709
14,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,15,2,Coniferous forest,5597.654865
15,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,16,4,Low Vegetation,11195.309729
16,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,14,5,Wetland,39184.337285
17,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,17,5,Wetland,5597.843172
18,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,18,1,Deciduous forest,11195.686344
19,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,19,4,Low Vegetation,5597.937324
20,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,20,5,Wetland,5597.937324
21,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,21,5,Wetland,11196.062949
22,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,22,1,Deciduous forest,5598.125624
23,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,23,5,Wetland,5598.125624
24,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,24,1,Deciduous forest,5598.125624
25,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,26,1,Deciduous forest,11196.627838
26,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,27,4,Low Vegetation,5598.408065
27,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,25,2,Coniferous forest,156757.873532
28,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,28,1,Deciduous forest,11197.004418
29,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,33,4,Low Vegetation,5598.596352
30,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,29,1,Deciduous forest,5598.502209
31,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,30,4,Low Vegetation,5598.502209
32,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,32,4,Low Vegetation,5598.596352
33,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,34,1,Deciduous forest,5598.596352
34,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,36,2,Coniferous forest,11197.66341
35,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,35,5,Wetland,11197.380989
36,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,31,4,Low Vegetation,201559.165155
37,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,37,4,Low Vegetation,5598.784635
38,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,38,2,Coniferous forest,5598.878775
39,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,43,1,Deciduous forest,11197.945826
40,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,39,2,Coniferous forest,11197.75755
41,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,40,1,Deciduous forest,5598.878775
42,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,41,4,Low Vegetation,11197.75755
43,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,42,2,Coniferous forest,27995.241114
44,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,44,1,Deciduous forest,5599.06705
45,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,46,4,Low Vegetation,111986.330137
46,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,47,2,Coniferous forest,5599.161186
47,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,48,1,Deciduous forest,5599.161186
48,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,56,1,Deciduous forest,5599.255321
49,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,45,1,Deciduous forest,11198.228236
50,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,50,4,Low Vegetation,5599.161186
51,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,51,4,Low Vegetation,2581872.550235
52,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,52,5,Wetland,5599.255321
53,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,53,4,Low Vegetation,39195.916837
54,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,54,1,Deciduous forest,5599.255321
55,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,55,2,Coniferous forest,5599.255321
56,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,64,1,Deciduous forest,5599.349454
57,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,59,2,Coniferous forest,11198.793041
58,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,60,1,Deciduous forest,5599.349454
59,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,61,1,Deciduous forest,5599.349454
60,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,49,1,Deciduous forest,27996.370736
61,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,63,4,Low Vegetation,16798.236627
62,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,67,1,Deciduous forest,5599.443586
63,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,65,5,Wetland,11198.887173
64,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,58,1,Deciduous forest,83993.065752
65,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,62,4,Low Vegetation,16798.236627
66,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,68,5,Wetland,5599.537717
67,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,69,4,Low Vegetation,33598.073466
68,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,66,1,Deciduous forest,16798.519022
69,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,71,2,Coniferous forest,162397.230235
70,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,70,1,Deciduous forest,11199.263695
71,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,72,5,Wetland,11199.263694
72,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,73,1,Deciduous forest,5599.725976
73,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,57,4,Low Vegetation,106389.992906
74,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,74,1,Deciduous forest,5599.725976
75,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,81,1,Deciduous forest,22399.656915
76,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,82,4,Low Vegetation,11199.734332
77,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,75,4,Low Vegetation,5599.820103
78,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,76,2,Coniferous forest,5599.820103
79,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,84,4,Low Vegetation,5599.914229
80,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,77,1,Deciduous forest,5599.820103
81,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,78,6,Water,100798.550243
82,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,79,1,Deciduous forest,5599.820103
83,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,88,4,Low Vegetation,33600.23837
84,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,80,4,Low Vegetation,16799.460309
85,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,89,1,Deciduous forest,5599.914229
86,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,85,1,Deciduous forest,16799.930937
87,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,87,5,Wetland,5599.914229
88,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,90,2,Coniferous forest,22399.939291
89,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,83,4,Low Vegetation,240814.477348
90,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,92,5,Wetland,5600.008354
91,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,102,7,Impervious,11200.204955
92,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,94,7,Impervious,5600.008354
93,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,103,4,Low Vegetation,11200.204955
94,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,95,4,Low Vegetation,5600.008354
95,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,96,2,Coniferous forest,5600.008354
96,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,104,1,Deciduous forest,5600.102478
97,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,97,2,Coniferous forest,11200.016708
98,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,98,1,Deciduous forest,16800.025062
99,1,1,,1,3,1,6,193.725,13.7252,32438.7,20366.3,1.59276,332,309,23,0.00070903,227.291,47.2906,1390.07,1,0.000719386,-57.2958,-57.2958,183.814,223541155.877529,223541155.877529,-86.5579166666667,49.4120833333333,106,6,Water,252025.694168
